Revenue,Expenses,Profit Margin %,Marketing Cost,Development Cost,R&D Investment,Customer Acquisition Cost,Employee Cost,Cloud Infrastructure Cost,Operational Efficiency %,Quarter
5496714.153011233,2336803.9912623423,18.78494308322676,555300.9963309352,825044.9005295815,477836.1076166638,452.09525486024063,2188204.7630487583,149478.37126639226,78.86808520689203,Q2
4861735.6988288155,2551855.1678424245,10.389173379111874,440999.17815089587,714118.8917749494,344881.42836714664,295.14713489483034,1548974.2228212447,212377.46104975787,85.90980425185967,Q4
5647688.538100692,3597834.8840986094,19.3480296005283,504311.7234402226,824459.5006064568,318180.1116577693,243.32745864716298,1565168.4593626529,161732.39407889143,95.12270445700764,Q2
6523029.856408025,3488296.2123467717,21.778189294024756,691767.7793910948,908659.6058072776,399662.55425890477,178.90284859097383,2562717.3922073846,180984.14227717626,85.23709546106981,Q2
4765846.625276664,2983278.7248286814,17.067174516118506,528664.8602029855,809772.0140651409,382981.53774750716,155.7488258995244,1405294.0535663362,317141.6463208976,77.49308595641729,Q1
4765863.043050819,3093861.9066470256,24.38397906279033,506965.4822234223,808118.3382407764,354677.19506727246,173.26912455956082,2821336.4766279818,293832.27362532436,85.45088474084753,Q3
6579212.8155073915,4022131.91663074,11.131054004482134,296021.5788530121,659601.662438649,469638.7447456715,321.37013208091867,1549689.6326760657,109029.31341506816,76.44887833096891,Q3
5767434.729152909,2526742.888931336,8.776726483442914,611938.0349040831,667419.8164898104,495530.5208570511,340.6980018583947,2319195.9628041917,258081.26925154222,75.23903043284956,Q2
4530525.614065048,3437677.9049360305,6.106398755478606,596822.6271711614,519478.9456400613,408840.68862918473,173.50474383742932,1835690.7621255077,256797.75881441144,71.48585764286267,Q1
5542560.0435859645,2838245.8780528847,22.480221557445915,824488.208495819,1149915.3486373879,547753.0081055262,371.60306512608923,2301593.7155411714,119621.56978731672,90.63413358832108,Q4
4536582.307187538,2825855.037418224,18.27182828177029,453833.26475704985,551227.352921743,285831.0885866495,261.3551158653248,1727942.9989429037,257314.43506284023,66.81571334057999,Q3
4534270.246429743,3879021.4815897522,14.722076645447725,532872.5491495909,661418.9604408186,380634.0540720282,311.74344095884396,1918603.5469638528,307655.2342888787,90.32367724678116,Q2
5241962.271566034,3660333.0791904237,16.399843131599102,537407.5525566132,656318.5468861605,328317.7679397195,428.97765026043396,2020459.5876978606,121421.86356289103,79.99864123740372,Q3
3086719.7553422023,3650807.708800511,9.372554763508116,736617.9919645211,978984.8753888883,213346.338292694,371.74714526924254,1498906.2721092636,135774.80252900155,61.006938251980586,Q3
3275082.1674869675,4044383.0457234634,27.22875989808413,485705.6701419572,741010.0643415945,391731.9314157301,278.5175481675334,2370412.172710063,271236.3026790452,78.67649292991422,Q4
4437712.470759028,3016803.073306207,15.646105909876137,541853.2288655508,1049548.4145347467,387825.2491616717,228.704621966777,1743393.2167642075,219004.67175779535,53.99973492348376,Q1
3987168.879665576,3545562.3770359713,15.546973973024464,591184.4764574809,665301.8751512263,551344.9743242131,127.8547678936556,1885700.0423299908,238603.33926676662,81.25508016831036,Q4
5314247.332595274,2751786.5947252354,18.62883311949346,527991.3684734537,855798.8324447604,463081.16845547775,242.46773446060638,1502825.312695744,223841.24514803477,83.8523148298899,Q1
4091975.924478789,3259333.0819907538,17.405046158683568,433034.95781742077,632930.5893480486,297581.3175670795,283.1095808937844,718833.1706023447,227348.71446497008,69.07644044347947,Q3
3587696.2986647086,2895885.5565058524,16.119420121395656,529113.4989347461,1229029.8255546778,585409.2566334188,221.02563782790529,1904486.1186999155,107146.9510182242,76.23547695955583,Q2
6465648.768921554,3077596.7719941745,11.047627722773441,661044.7624789658,562480.3161940975,522103.3695525353,289.4994426326156,3206307.7108064583,273312.2394635014,94.54157433750287,Q4
4774223.699513464,3476125.620349531,17.357341785679978,346022.70508834097,861964.1420454055,458209.77034686157,306.1481506367015,2392302.143949012,281871.29946994415,69.94253295738064,Q1
5067528.204687924,2345423.453413222,24.41012248237517,519945.4511220314,926755.3761864197,377351.5901150168,282.0115214553537,1990369.8101328027,183942.64791523805,64.410924129434,Q3
3575251.813786543,4673909.820548369,21.727100230774887,394981.87775912404,882759.8194902997,304056.07632765203,247.99979353412323,1868554.585395866,196956.61351302962,89.81663402462598,Q1
4455617.2754748175,2195186.0948002385,22.965933133196984,679256.9943387264,762942.4682244584,362779.3223928947,313.4923737573382,2011232.946406023,92822.47482109944,94.62587190530795,Q1
5110922.589709866,2028649.1097698142,12.443921617844074,271521.9642824338,774035.8600533147,508874.8619704186,335.3552519655527,2273559.557587605,235997.83292124845,75.03695671847848,Q1
3849006.4225776973,3926488.6988000544,10.051975898707095,416161.72290926176,808762.2943958219,588458.6305934609,212.7680738045723,1409593.5923455777,240044.0209199901,85.11463035408356,Q3
5375698.018345672,3633330.1551703485,14.37106539950176,556581.7812596781,770599.5996743023,554324.352827219,412.8745903797016,2557160.847334436,195646.62881004822,88.41475915530881,Q2
4399361.310081195,3499295.853641724,15.278624561443474,734828.6043851511,992775.8233589819,351115.0578213726,292.1129494172591,2357690.657720622,278704.7351909352,67.57515767461616,Q2
4708306.250206723,3502676.407411424,20.470957592354743,490137.4608390518,1242104.6003182703,288038.2566710989,301.5079698355878,2359092.862853967,176614.59383140417,70.14694164632132,Q2
4398293.387770603,2990202.581722468,6.537676851425903,416720.0709960202,688501.6429984333,414088.6246911204,356.65715386052455,2219237.8694048636,239522.41481255202,87.30874513154735,Q1
6852278.184508938,2282196.502811335,22.64775159730307,782173.5604160884,526039.4040841844,223156.06344371484,318.6572905010801,2009808.328846995,128623.49629155191,91.85014278708509,Q3
4986502.775262066,3060643.646554981,14.209960507105054,282797.91493756336,782343.590329749,432316.77141847817,376.2509307130596,2336430.61798341,198351.34943880333,80.62880860174354,Q1
3942289.0710440995,2458270.630790311,12.8655946502629,170179.1065069877,1315941.8675308637,385239.7413701331,322.96993321614593,2295907.066870689,187795.2019468015,66.20185646497946,Q2
5822544.912103189,3780095.786734201,9.939478123699162,566002.1675079998,639265.0864060539,353396.3498131758,251.00501002876496,1822979.6445294882,215771.5545428659,94.87061111699441,Q2
3779156.3500289777,2882354.0947982892,6.725716640671154,424691.8663471083,1127823.3610888135,240529.69327332044,328.92028201648816,1713199.1135515496,174133.1149816649,69.69029102188036,Q3
5208863.595004755,2339602.242565991,19.115852919809573,346815.077430393,1135540.1628152882,451360.01065697166,208.50190341434705,2050928.1476309933,190796.91830298325,71.64862218828549,Q1
3040329.8761202246,2742891.326677605,15.366589835942019,606253.467094903,689282.3516584011,346729.91603380884,308.6847764621219,2774510.075747594,257823.30200090545,78.42337834489622,Q4
3671813.9511015695,3330345.1634204993,8.55019550129473,536570.1070656799,913796.615837055,283008.3164289712,297.3416007484431,1380446.4621730496,169426.5033933248,90.54160420714774,Q4
